Facility ID,Facility Name,Address Line 1,Address Line 2,City,State,ZIP,Latitude,Longitude,Total Rated Electric Generation (kW),Total Rated Heat Generation (MBtu/h),Total Rated Electrical Discharge Capacity (kW),Total Rated Electrical Storage Capacity (kWh),Total Rated Cooling Energy Discharge Capacity (ton),Total Equivalent Electrical Discharge Capacity from Cooling Sources (kW),Total Rated Cooling Energy Storage Capacity (ton-hour),Total Equivalent Electrical Storage Capacity from Cooling Sources (kWh),Total Rated Thermal Energy Discharge Capacity (MBtu/h),Total Equivalent Electrical Discharge Capacity from Thermal Sources (kW),Total Rated Thermal Energy Storage Capacity (MBtu),Total Equivalent Electrical Storage Capacity from Thermal Sources (kWh),Facility Submits Data on Electricity Imported from Utility?,Source Weather Station for Ambient Temperature Data,Metric Data Last Modified,Installed Systems,Alternate Name(s),Facility Website (external),Category,Subcategory,Floor Area (ft²),No. of Occupancy Units,Electric Utility,Gas Utility,NYISO Zone,Located in Flood Plain
1069,Crans Mill Road Solar Project,56 Crans Mill Rd,,"Pine Bush,",NY,12566,41.561923,-74.3477467,2794.5,0,0,0,0,0,0,0,0,0,0,0,FALSE,KSWF,8/22/19 12:14,1,,,Offsite Resource,Solar Farm,,,Orange and Rockland Utilities,,G - Hudson Valley,
1070,Franklin County Solid Waste,326 Brand Road,,Malone,NY,12953,,,3491,0,0,0,0,0,0,0,0,0,0,0,FALSE,KPBG,8/21/19 20:13,1,,,Utilities Water and Waste Management,Landfill,,,National Grid - Upstate NY (Niagara Mohawk),,E - Mohawk Valley,
1071,Hudson Solar OCCF,23-26 White Oak Drive,,Chester,NY,10918,,,383.4,0,0,0,0,0,0,0,0,0,0,0,FALSE,KPOU,8/21/19 20:14,1,,,Offsite Resource,Solar Farm,,,Orange and Rockland Utilities,,G - Hudson Valley,
1072,New York Towers,305 E 24th St,,New York,NY,10010,40.7389223,-73.9818055,795,4257,0,0,0,0,0,0,0,0,0,0,TRUE,KJFK,8/26/19 21:07,1,,,Residential,Multifamily,,,Consolidated Edison,Consolidated Edison,J - New York City,
1073,Underhill,130 Underhill Rd,,Poughkeepsie,NY,12603,41.7219743,-73.8963049,3011.04,0,0,0,0,0,0,0,0,0,0,0,FALSE,KPOU,8/22/19 15:29,1,,,Offsite Resource,Solar Farm,,,Central Hudson Gas and Electric,,G - Hudson Valley,
1074,Grabinski Solar,40 Lake Osiris Rd,,Walden,NY,12586,41.578149,-74.1808397,3002.19,0,0,0,0,0,0,0,0,0,0,0,FALSE,KPOU,8/22/19 15:57,1,,,Offsite Resource,Solar Farm,,,Central Hudson Gas and Electric,,G - Hudson Valley,
1075,Rivercross Tenants Corp,531 Main Street,,New York,NY,10044,40.7614625,-73.9526993,400,2452,0,0,0,0,0,0,0,0,0,0,TRUE,KLGA,11/5/19 21:38,1,,,Residential,Multifamily,,,Consolidated Edison,Consolidated Edison,J - New York City,
1076,Bluestone,82 Hallihans Hill Rd,,Kingston,NY,12401,41.9890099,-74.0332082,3012.75,0,0,0,0,0,0,0,0,0,0,0,FALSE,KPOU,8/22/19 17:18,1,,,Offsite Resource,Solar Farm,,,Central Hudson Gas and Electric,,G - Hudson Valley,
1077,Hoosac School,39 Pine Valley Road,,Hoosick Falls,NY,12090,42.8547849,-73.3490755,474.24,0,0,0,0,0,0,0,0,0,0,0,FALSE,KALB,8/30/19 15:03,1,,,Education,High School,,,National Grid - Upstate NY (Niagara Mohawk),,F - Capital,
1078,Manhattan Beer Distributors - Suffern 2,20 Dunnigan Drive,,Suffern,NY,10901,41.1164892,-74.1221473,895.05,0,0,0,0,0,0,0,0,0,0,0,FALSE,KPOU,8/30/19 14:44,1,,,Warehouse and Storage,Distribution or Shipping Center,,,Orange and Rockland Utilities,,G - Hudson Valley,
1079,Delaware River Solar 297 Boas Rd,297 Boas Road,,Mooers Forks,NY,12959,44.929932,-73.6715567,8420.16,0,0,0,0,0,0,0,0,0,0,0,FALSE,KPBG,2/17/20 19:58,1,,,Offsite Resource,Solar Farm,,,New York State Electric and Gas,,D - North,
